# 逐字稿 - moneyline_20260206_part2
# 來源網址: https://www.youtube.com/watch?v=c_z9nnTywes
# 轉換日期: 2026-02-07 14:06:40
# Whisper 模型: base

================================================================================


[00:00:00.000 --> 00:00:06.960]  我們剛剛錄節目一開始的時候
[00:37:12.240 --> 00:37:14.240]  今天收盤的時候記憶體都黑了
[00:37:14.240 --> 00:37:17.240]  可是老AI幾乎都紅的
[00:37:17.240 --> 00:37:18.240]  就代表什麼
[00:37:18.240 --> 00:37:21.240]  資金今天已經開始部分的回憶體
[00:37:21.240 --> 00:37:23.240]  已經部分從記憶體撤出來回到老AI
[00:37:23.240 --> 00:37:24.240]  就部分也回來了
[00:37:24.240 --> 00:37:27.240]  可是這個東西不會那麼快
[00:37:27.240 --> 00:37:28.240]  為什麼
[00:37:28.240 --> 00:37:31.240]  因為大家還存在在我買記憶體
[00:37:31.240 --> 00:37:32.240]  買PCB賺很快
[00:37:32.240 --> 00:37:36.240]  賺很大的這個過去的這個漁運裡面
[00:37:36.240 --> 00:37:38.240]  所以我會建議你是什麼
[00:37:38.240 --> 00:37:40.240]  分P去低階島AI
[00:37:40.240 --> 00:37:42.240]  甚至散熱還有組裝
[00:37:42.240 --> 00:37:43.240]  這個是首選
[00:37:43.240 --> 00:37:44.240]  我們一個個來
[00:37:44.240 --> 00:37:45.240]  先來看到老AI
[00:37:45.240 --> 00:37:46.240]  個股要檢視一下
[00:37:46.240 --> 00:37:47.240]  好我們來看
[00:37:47.240 --> 00:37:48.240]  你看有這件外資投信嗎
[00:37:48.240 --> 00:37:49.240]  紅海都在賣
[00:37:49.240 --> 00:37:52.240]  廣達是外資大買投信賣
[00:37:52.240 --> 00:37:53.240]  維創是兩個都賣
[00:37:53.240 --> 00:37:55.240]  所以這三個就很倒霉
[00:37:55.240 --> 00:37:56.240]  就不會動
[00:37:56.240 --> 00:37:59.240]  你看唯一是兩個對做嘛
[00:37:59.240 --> 00:38:01.240]  所以我們先來看這四家組裝廠的圖
[00:38:01.240 --> 00:38:05.240]  其實如果從剛來自卡的本意比看
[00:38:05.240 --> 00:38:07.240]  大概在9倍到11倍的本意比
[00:38:07.240 --> 00:38:09.240]  那個真的是很便宜
[00:38:09.240 --> 00:38:11.240]  因為你如果後面沒有成長性就算了
[00:38:11.240 --> 00:38:12.240]  是還有的
[00:38:12.240 --> 00:38:14.240]  紅海打到這邊
[00:38:14.240 --> 00:38:16.240]  來到前低這裡
[00:38:16.240 --> 00:38:17.240]  來到這裡
[00:38:17.240 --> 00:38:19.240]  我個人是認為
[00:38:19.240 --> 00:38:21.240]  這個203這一次不會來了
[00:38:21.240 --> 00:38:22.240]  你不用想太多
[00:38:22.240 --> 00:38:25.240]  211以下來的機率沒有那麼高
[00:38:25.240 --> 00:38:27.240]  那今天收215
[00:38:27.240 --> 00:38:29.240]  難怪你說甜甜價道
[00:38:29.240 --> 00:38:30.240]  對所以這裡正常來講
[00:38:30.240 --> 00:38:31.240]  它就是接近很甜
[00:38:31.240 --> 00:38:33.240]  因為之前我在看是222這裡
[00:38:33.240 --> 00:38:34.240]  它要守住
[00:38:34.240 --> 00:38:36.240]  可你看這幾天大盤上疊對不對
[00:38:36.240 --> 00:38:38.240]  我們把它清掉時間進去點
[00:38:38.240 --> 00:38:40.240]  你看大盤上疊
[00:38:40.240 --> 00:38:41.240]  可是其實紅海
[00:38:41.240 --> 00:38:42.240]  它都有在增長
[00:38:42.240 --> 00:38:43.240]  你知道嗎
[00:38:43.240 --> 00:38:44.240]  222這個位置
[00:38:44.240 --> 00:38:45.240]  它都有在這代表什麼
[00:38:45.240 --> 00:38:46.240]  這邊也有買盤進來
[00:38:46.240 --> 00:38:49.240]  可是受限於投信
[00:38:49.240 --> 00:38:50.240]  或外資賣
[00:38:50.240 --> 00:38:51.240]  沒有拉的洞
[00:38:51.240 --> 00:38:53.240]  可你看今天很明顯的
[00:38:53.240 --> 00:38:54.240]  雖然創低
[00:38:54.240 --> 00:38:55.240]  但是收盤價
[00:38:55.240 --> 00:38:56.240]  也沒有在創新低
[00:38:56.240 --> 00:38:58.240]  你可以把資金分兩份
[00:38:58.240 --> 00:39:01.240]  譬如說我拿一些去買記憶體
[00:39:01.240 --> 00:39:03.240]  可是我在這裡
[00:39:03.240 --> 00:39:05.240]  我也低階紅海
[00:39:05.240 --> 00:39:08.240]  這是真的手上資金比較多的
[00:39:08.240 --> 00:39:10.240]  如果資金比較少的
[00:39:10.240 --> 00:39:11.240]  我會這樣建議
[00:39:11.240 --> 00:39:12.240]  記憶體你如果買不下去
[00:39:12.240 --> 00:39:14.240]  你又想等紅海
[00:39:14.240 --> 00:39:15.240]  那很簡單
[00:39:15.240 --> 00:39:17.240]  你就等它贊回半年限
[00:39:17.240 --> 00:39:20.240]  等它打出一個底贊回半年限對不對
[00:39:20.240 --> 00:39:22.240]  底部形態出來的
[00:39:22.240 --> 00:39:23.240]  我再進來
[00:39:23.240 --> 00:39:24.240]  清楚
[00:39:24.240 --> 00:39:25.240]  這是紅海
[00:39:25.240 --> 00:39:26.240]  廣大呢
[00:39:26.240 --> 00:39:28.240]  廣大就比紅海強多
[00:39:28.240 --> 00:39:29.240]  廣大現在已經告訴你
[00:39:29.240 --> 00:39:31.240]  你現在年限的也有支撐
[00:39:31.240 --> 00:39:31.240]  有沒有
[00:39:31.240 --> 00:39:33.240]  你們看這已經就是
[00:39:33.240 --> 00:39:35.240]  十首年限就對了
[00:39:35.240 --> 00:39:38.240]  所以這邊我覺得
[00:39:38.240 --> 00:39:39.240]  有機會接近年限
[00:39:39.240 --> 00:39:40.240]  你就是買
[00:39:40.240 --> 00:39:41.240]  那買來呢
[00:39:41.240 --> 00:39:42.240]  你就是什麼
[00:39:42.240 --> 00:39:43.240]  以300到2007這個區間
[00:39:43.240 --> 00:39:44.240]  來回的操作
[00:39:44.240 --> 00:39:46.240]  接近300你就先賣
[00:39:46.240 --> 00:39:48.240]  打到275
[00:39:48.240 --> 00:39:49.240]  2008以下
[00:39:49.240 --> 00:39:50.240]  你就準備買
[00:39:50.240 --> 00:39:51.240]  先先這樣做
[00:39:51.240 --> 00:39:53.240]  最弱的是偉創
[00:39:53.240 --> 00:39:54.240]  偉創怎麼辦
[00:39:54.240 --> 00:39:56.240]  偉創因為它最弱
[00:39:56.240 --> 00:39:58.240]  因為這裡面這三家
[00:39:58.240 --> 00:40:00.240]  如果你訂單來看的話
[00:40:00.240 --> 00:40:02.240]  你買偉創不如買唯一
[00:40:02.240 --> 00:40:03.240]  不如買唯一
[00:40:03.240 --> 00:40:05.240]  我們先看唯一
[00:40:05.240 --> 00:40:07.240]  唯一也是打半年限
[00:40:07.240 --> 00:40:09.240]  偉創跟紅海跟廣大
[00:40:09.240 --> 00:40:10.240]  是不是很類似
[00:40:10.240 --> 00:40:13.240]  那如果說當然你一股價來看
[00:40:13.240 --> 00:40:14.240]  它最低沒有錯
[00:40:14.240 --> 00:40:15.240]  可是如果我們一動
[00:40:15.240 --> 00:40:17.240]  能跟訂單的分配來看的話
[00:40:17.240 --> 00:40:19.240]  我會建議那三家
[00:40:19.240 --> 00:40:21.240]  我就先買紅海跟廣大
[00:40:21.240 --> 00:40:24.240]  然後如果你真的想買偉創
[00:40:24.240 --> 00:40:25.240]  你不如買偉
[00:40:25.240 --> 00:40:26.240]  因為這是台股的獲利網
[00:40:26.240 --> 00:40:28.240]  所以毛利率沒有那麼高
[00:40:28.240 --> 00:40:31.240]  但是以目前為應來講
[00:40:31.240 --> 00:40:33.240]  它也是死守這個位置
[00:40:33.240 --> 00:40:35.240]  半年限雖然跌破
[00:40:35.240 --> 00:40:36.240]  但是你看
[00:40:36.240 --> 00:40:37.240]  下檔他想辦法
[00:40:37.240 --> 00:40:38.240]  偏偏要防守
[00:40:38.240 --> 00:40:39.240]  大概三千五這個位置嘛
[00:40:39.240 --> 00:40:41.240]  所以為應也可以留意
[00:40:41.240 --> 00:40:43.240]  但重點就是在於說
[00:40:43.240 --> 00:40:45.240]  老AI這個區塊
[00:40:45.240 --> 00:40:46.240]  你要看的是
[00:40:46.240 --> 00:40:48.240]  哪一天第一跟中長紅
[00:40:48.240 --> 00:40:50.240]  一起出來
[00:40:50.240 --> 00:40:51.240]  那就代表什麼
[00:40:51.240 --> 00:40:53.240]  資金真的全部跌回來
[00:40:53.240 --> 00:40:54.240]  那再來
[00:40:54.240 --> 00:40:55.240]  散熱
[00:40:55.240 --> 00:40:56.240]  散熱也是老AI
[00:40:56.240 --> 00:40:58.240]  你看散熱現在比較明顯
[00:40:58.240 --> 00:40:59.240]  法人在買它
[00:40:59.240 --> 00:41:01.240]  法人都有在買
[00:41:01.240 --> 00:41:03.240]  那其紅是因為它有創高的
[00:41:03.240 --> 00:41:06.240]  其紅有創高它回測錢高
[00:41:06.240 --> 00:41:07.240]  所以回測錢高
[00:41:07.240 --> 00:41:09.240]  反正一千五沒有跌破的話
[00:41:09.240 --> 00:41:12.240]  我們就當作它是長多的一個拉回
[00:41:12.240 --> 00:41:14.240]  反正我覺得最近可以來看雙紅
[00:41:14.240 --> 00:41:15.240]  為什麼
[00:41:15.240 --> 00:41:17.240]  雙紅這個高點一直沒有
[00:41:17.240 --> 00:41:18.240]  我們把時間拉長
[00:41:18.240 --> 00:41:20.240]  雙紅這個高點一直沒過
[00:41:20.240 --> 00:41:22.240]  可是這裡其實一個底部很明確
[00:41:22.240 --> 00:41:25.240]  而且以今年成長性來看的話
[00:41:25.240 --> 00:41:27.240]  我們回到自卡來看一下
[00:41:27.240 --> 00:41:28.240]  你看目前
[00:41:28.240 --> 00:41:30.240]  這兩個本意比
[00:41:30.240 --> 00:41:34.240]  雙紅去年大概賺二十幾塊
[00:41:34.240 --> 00:41:36.240]  今年是大概可以成長快一倍
[00:41:36.240 --> 00:41:38.240]  也就是說我會覺得
[00:41:38.240 --> 00:41:39.240]  如果目前的股價來看
[00:41:39.240 --> 00:41:41.240]  我們看到雙紅的圖
[00:41:41.240 --> 00:41:43.240]  這邊如果大概圖破一千億
[00:41:43.240 --> 00:41:45.240]  這一個形態一旦圖破
[00:41:45.240 --> 00:41:47.240]  長上去的速度
[00:41:47.240 --> 00:41:48.240]  我覺得會比其紅來得快
[00:41:48.240 --> 00:41:50.240]  所以我覺得短線散熱
[00:41:50.240 --> 00:41:51.240]  反正你可以來選雙紅
[00:41:51.240 --> 00:41:53.240]  好就是老AI的檢視
[00:41:53.240 --> 00:41:54.240]  那接下來我要請您預估一下
[00:41:54.240 --> 00:41:56.240]  因為剛剛敏漢也說
[00:41:56.240 --> 00:41:57.240]  以過去十幾年來看
[00:41:57.240 --> 00:41:59.240]  其實開紅盤長的機率很高
[00:41:59.240 --> 00:42:02.240]  開紅盤一天三天五天之後
[00:42:02.240 --> 00:42:03.240]  少長的距率都很高
[00:42:03.240 --> 00:42:04.240]  所以你覺得
[00:42:04.240 --> 00:42:05.240]  今年開紅盤是有可能是黑馬嗎
[00:42:05.240 --> 00:42:07.240]  好我要這樣講
[00:42:07.240 --> 00:42:09.240]  如果開紅盤我們假設
[00:42:09.240 --> 00:42:11.240]  機體的動力沒有那麼強
[00:42:11.240 --> 00:42:13.240]  那我可以跟你保證
[00:42:13.240 --> 00:42:15.240]  老AI跟現在講了這一組
[00:42:15.240 --> 00:42:16.240]  一定動
[00:42:16.240 --> 00:42:17.240]  OK
[00:42:17.240 --> 00:42:18.240]  那這一組是誰呢
[00:42:18.240 --> 00:42:19.240]  我們現在來看
[00:42:19.240 --> 00:42:21.240]  AI的這個敘事的組織
[00:42:21.240 --> 00:42:22.240]  其實沒有變
[00:42:22.240 --> 00:42:24.240]  就是雜音而已
[00:42:24.240 --> 00:42:25.240]  那雜音就是大家覺得說
[00:42:25.240 --> 00:42:27.240]  我就是燒太多錢對不對
[00:42:27.240 --> 00:42:28.240]  好
[00:42:28.240 --> 00:42:30.240]  這些錢燒到哪裡去了
[00:42:30.240 --> 00:42:31.240]  這很重要嘛
[00:42:31.240 --> 00:42:32.240]  第一個
[00:42:32.240 --> 00:42:35.240]  四大卸支批廠燒錢不手軟燒什麼
[00:42:35.240 --> 00:42:36.240]  自言晶片
[00:42:36.240 --> 00:42:37.240]  我跟大家講
[00:42:37.240 --> 00:42:38.240]  這個東西
[00:42:38.240 --> 00:42:39.240]  其實之前
[00:42:39.240 --> 00:42:40.240]  很少分析是會講這些嘛
[00:42:40.240 --> 00:42:41.240]  你看我們之前
[00:42:41.240 --> 00:42:42.240]  在百分百跟大家講什麼
[00:42:42.240 --> 00:42:43.240]  講創意
[00:42:43.240 --> 00:42:45.240]  全市場沒有人在講創意的
[00:42:45.240 --> 00:42:48.240]  你看創意從11月長了一倍上來
[00:42:48.240 --> 00:42:49.240]  之後我告訴大家
[00:42:49.240 --> 00:42:51.240]  我說我們從創意上面
[00:42:51.240 --> 00:42:52.240]  我們看到一件事
[00:42:52.240 --> 00:42:55.240]  連發科是創意之後的大黑馬
[00:42:55.240 --> 00:42:57.240]  你看連發科最近
[00:42:57.240 --> 00:42:58.240]  法說
[00:42:58.240 --> 00:42:59.240]  他告訴你什麼
[00:42:59.240 --> 00:43:03.240]  之後細緻財的營收有機會上看
[00:43:03.240 --> 00:43:04.240]  佔兩層
[00:43:04.240 --> 00:43:06.240]  今年是十億美元
[00:43:06.240 --> 00:43:08.240]  明年是數十億美元
[00:43:08.240 --> 00:43:09.240]  好
[00:43:09.240 --> 00:43:10.240]  所以你看連發科
[00:43:10.240 --> 00:43:13.240]  外資最近開始不一樣了嘛
[00:43:13.240 --> 00:43:14.240]  然後法說
[00:43:14.240 --> 00:43:15.240]  玩家每一家報告出來
[00:43:15.240 --> 00:43:17.240]  都是2000塊作為基金
[00:43:17.240 --> 00:43:18.240]  話說連發科
[00:43:18.240 --> 00:43:20.240]  你也給大家很多的底氣
[00:43:20.240 --> 00:43:21.240]  連發科
[00:43:21.240 --> 00:43:22.240]  那時候不好
[00:43:22.240 --> 00:43:23.240]  股價不好的時候
[00:43:23.240 --> 00:43:25.240]  你也在這邊沒有人講連發科
[00:43:25.240 --> 00:43:26.240]  我說這個連發科
[00:43:26.240 --> 00:43:28.240]  這換一個標籤
[00:43:28.240 --> 00:43:29.240]  躺著都能長嘛
[00:43:29.240 --> 00:43:30.240]  你到今天來看
[00:43:30.240 --> 00:43:31.240]  是不是就是這樣
[00:43:31.240 --> 00:43:33.240]  而且所有的人講的東西
[00:43:33.240 --> 00:43:35.240]  是跟我們那時候在節目上說的一樣
[00:43:35.240 --> 00:43:37.240]  就是因為細緻財這一塊嘛
[00:43:37.240 --> 00:43:39.240]  所以連發科到今天為止一樣
[00:43:39.240 --> 00:43:41.240]  一千七
[00:43:41.240 --> 00:43:42.240]  甚至一千七以下這個缺口
[00:43:42.240 --> 00:43:43.240]  已經都沒來補了
[00:43:43.240 --> 00:43:45.240]  你要把握機會
[00:43:45.240 --> 00:43:46.240]  1820有沒有機會
[00:43:46.240 --> 00:43:47.240]  再表現一次給大家看
[00:43:47.240 --> 00:43:48.240]  我剛才都講了
[00:43:48.240 --> 00:43:51.240]  所有的外資跟國內的捐傷
[00:43:51.240 --> 00:43:53.240]  這一次給連發科目標價
[00:43:53.240 --> 00:43:55.240]  都是幾乎多少
[00:43:55.240 --> 00:43:56.240]  2000
[00:43:56.240 --> 00:43:58.240]  信華上萬元
[00:43:58.240 --> 00:43:59.240]  跟連發科上2000
[00:43:59.240 --> 00:44:01.240]  你對哪個比較有信心
[00:44:01.240 --> 00:44:03.240]  信華一定會先到一萬
[00:44:03.240 --> 00:44:04.240]  因為他
[00:44:04.240 --> 00:44:05.240]  來我們看信華的股價
[00:44:05.240 --> 00:44:07.240]  為什麼我這樣講
[00:44:07.240 --> 00:44:08.240]  就華
[00:44:08.240 --> 00:44:09.200]  不過就是他140
[00:44:09.200 --> 00:44:10.240]  所以這個
[00:44:10.240 --> 00:44:12.240]  現在在九千十趴就到的
[00:44:12.240 --> 00:44:16.240]  可是連發科一千七的十趴是多少
[00:44:16.240 --> 00:44:18.240]  十一千八百七
[00:44:18.240 --> 00:44:19.240]  對不對
[00:44:19.240 --> 00:44:20.240]  他長大概十五趴左右
[00:44:20.240 --> 00:44:21.240]  所以我說當然信華比較
[00:44:21.240 --> 00:44:23.240]  可是我說連發科的場線
[00:44:23.240 --> 00:44:24.240]  絕對不只兩千
[00:44:24.240 --> 00:44:26.240]  原來我們回來看自行
[00:44:26.240 --> 00:44:28.240]  因為如果以連發科
[00:44:28.240 --> 00:44:30.240]  今年反而估八十塊來看
[00:44:30.240 --> 00:44:32.240]  明年大家才會到一百
[00:44:32.240 --> 00:44:33.240]  本一筆給多少
[00:44:33.240 --> 00:44:35.240]  本一筆最高過去大概二十五倍
[00:44:35.240 --> 00:44:37.240]  可是因為現在標籤換了
[00:44:37.240 --> 00:44:38.240]  我認為長線
[00:44:38.240 --> 00:44:40.240]  有機會達到三十倍以上
[00:44:40.240 --> 00:44:41.240]  那你就這樣去想嗎
[00:44:41.240 --> 00:44:43.240]  八十跟三十
[00:44:43.240 --> 00:44:45.240]  一百跟三十
[00:44:45.240 --> 00:44:47.240]  這城玩外資會給多少目標價
[00:44:47.240 --> 00:44:48.240]  對不對
[00:44:48.240 --> 00:44:49.240]  再來
[00:44:49.240 --> 00:44:51.240]  除了我們講細緻財外
[00:44:51.240 --> 00:44:52.240]  硬體的升級
[00:44:52.240 --> 00:44:54.240]  是今年AI最大的改變
[00:44:54.240 --> 00:44:56.240]  所以電源
[00:44:56.240 --> 00:44:58.240]  BPU這個是很有爆發力的動力
[00:44:58.240 --> 00:44:59.240]  電源要看台達電
[00:44:59.240 --> 00:45:01.240]  台達電的市值都超車紅癌
[00:45:01.240 --> 00:45:02.240]  當二哥告訴你一件事
[00:45:02.240 --> 00:45:04.240]  AI電力時代本來就來
[00:45:04.240 --> 00:45:05.240]  你看美國那些
[00:45:05.240 --> 00:45:07.240]  AI電力的ETF
[00:45:07.240 --> 00:45:08.240]  是長到段期八糟
[00:45:08.240 --> 00:45:09.240]  還有一個
[00:45:09.240 --> 00:45:11.240]  今年八百B的積跪進度是早的預期
[00:45:11.240 --> 00:45:13.240]  而且下半年會放量出貨
[00:45:13.240 --> 00:45:15.240]  所以BPU這個區塊
[00:45:15.240 --> 00:45:16.240]  你也不能鬥得了
[00:45:16.240 --> 00:45:17.240]  而且我跟你講
[00:45:17.240 --> 00:45:19.240]  最近BPU也是弱到不行
[00:45:19.240 --> 00:45:20.240]  為什麼
[00:45:20.240 --> 00:45:22.240]  資金沒有進來
[00:45:22.240 --> 00:45:24.240]  高壓子流電成為主流
[00:45:24.240 --> 00:45:26.240]  BPU是半年中的關鍵
[00:45:26.240 --> 00:45:27.240]  如果以GB300以後
[00:45:27.240 --> 00:45:29.240]  強制標備BPU來看的話
[00:45:29.240 --> 00:45:32.240]  今年整個BPU的成長性上看多少
[00:45:32.240 --> 00:45:33.240]  無塵
[00:45:33.240 --> 00:45:34.240]  我上圖來看
[00:45:34.240 --> 00:45:35.240]  最近外資跟投信同買發給
[00:45:35.240 --> 00:45:36.240]  我剛剛講一千七以下
[00:45:36.240 --> 00:45:37.240]  就是買點
[00:45:37.240 --> 00:45:39.240]  就是這個檢口回來回測
[00:45:39.240 --> 00:45:40.240]  你就是買就對了
[00:45:40.240 --> 00:45:42.240]  所以今天收170差不多
[00:45:42.240 --> 00:45:43.240]  對
[00:45:43.240 --> 00:45:44.240]  導播上下周線
[00:45:44.240 --> 00:45:45.240]  上點發課的時候
[00:45:45.240 --> 00:45:46.240]  我跟大家講為什麼
[00:45:46.240 --> 00:45:47.240]  做啊
[00:45:47.240 --> 00:45:48.240]  這個是歷史新高
[00:45:48.240 --> 00:45:49.240]  他怎麼過的
[00:45:49.240 --> 00:45:51.240]  用跳空跳空
[00:45:51.240 --> 00:45:53.240]  他帶跳空過的告訴你
[00:45:53.240 --> 00:45:55.240]  這個趨勢是真正的開始
[00:45:55.240 --> 00:45:57.240]  只是他是大型鼓
[00:45:57.240 --> 00:45:58.240]  好
[00:45:58.240 --> 00:45:59.240]  大型鼓就是慢一點點
[00:45:59.240 --> 00:46:01.240]  可是人家這個趨勢是對的
[00:46:01.240 --> 00:46:02.240]  OK
[00:46:02.240 --> 00:46:03.240]  那你就不用想太多
[00:46:03.240 --> 00:46:04.240]  創意
[00:46:04.240 --> 00:46:05.240]  創意的話
[00:46:05.240 --> 00:46:07.240]  創意是因為長多壓回
[00:46:07.240 --> 00:46:08.240]  他現在回到這個記線了
[00:46:08.240 --> 00:46:09.240]  所以記線附近
[00:46:09.240 --> 00:46:10.240]  甚至記線以下
[00:46:10.240 --> 00:46:11.240]  你要開始留意
[00:46:11.240 --> 00:46:13.240]  只是因為他先長上來
[00:46:13.240 --> 00:46:14.240]  我會建議你先
[00:46:14.240 --> 00:46:16.240]  先把焦點放到點發課
[00:46:16.240 --> 00:46:18.240]  甚至3661的資金KY
[00:46:18.240 --> 00:46:20.240]  回到年限
[00:46:20.240 --> 00:46:21.240]  這邊年限資深其實也很強
[00:46:21.240 --> 00:46:23.240]  因為這邊都出過很多大量
[00:46:23.240 --> 00:46:24.240]  這邊我覺得也是買點
[00:46:24.240 --> 00:46:26.240]  為什麼下半年業績會爆發
[00:46:26.240 --> 00:46:28.240]  去年其實幾塊
[00:46:28.240 --> 00:46:29.240]  今年140幾塊
[00:46:29.240 --> 00:46:31.240]  這個成長性是很大
[00:46:31.240 --> 00:46:32.240]  今天節目已經有兩位來
[00:46:32.240 --> 00:46:34.240]  並一起共同看好事情了
[00:46:34.240 --> 00:46:35.240]  這IC設計
[00:46:35.240 --> 00:46:36.240]  來電源供應台大電
[00:46:36.240 --> 00:46:37.240]  好
[00:46:37.240 --> 00:46:38.240]  電源供應器
[00:46:38.240 --> 00:46:39.240]  台大電跟光寶
[00:46:39.240 --> 00:46:40.240]  最近外資都在賣
[00:46:40.240 --> 00:46:41.240]  好
[00:46:41.240 --> 00:46:42.240]  那回到月線對不對
[00:46:42.240 --> 00:46:44.240]  這邊本線就是買點了
[00:46:44.240 --> 00:46:46.240]  這邊鎮一鎮一定會在過高
[00:46:46.240 --> 00:46:48.240]  光寶可能
[00:46:48.240 --> 00:46:49.240]  光寶稍微弱一點
[00:46:49.240 --> 00:46:51.240]  但是你看軍線也糾結了
[00:46:51.240 --> 00:46:52.240]  所以我會這樣建議
[00:46:52.240 --> 00:46:55.240]  你如果是喜歡做強制股
[00:46:55.240 --> 00:46:57.240]  那你就往台大電找
[00:46:57.240 --> 00:46:58.240]  如果你覺得這個
[00:46:58.240 --> 00:47:00.240]  震盪王會往上走
[00:47:00.240 --> 00:47:01.240]  光寶也是一個選擇
[00:47:01.240 --> 00:47:03.240]  來BPU檢視一下
[00:47:03.240 --> 00:47:04.240]  AS
[00:47:04.240 --> 00:47:05.240]  外資從12月以後
[00:47:05.240 --> 00:47:06.240]  一路賣
[00:47:06.240 --> 00:47:08.240]  後來投資又跳進來
[00:47:08.240 --> 00:47:09.240]  然後投資又跳進來賣
[00:47:09.240 --> 00:47:10.240]  結果你知道嗎
[00:47:10.240 --> 00:47:12.240]  昨天公布營收又創歷史新高
[00:47:12.240 --> 00:47:14.240]  這個營收是一路歷史新高
[00:47:14.240 --> 00:47:16.240]  然後以公司最近一次罰說講
[00:47:16.240 --> 00:47:19.240]  他是說今年營收是際計高
[00:47:19.240 --> 00:47:20.240]  所以業績這沒有問題
[00:47:20.240 --> 00:47:21.240]  然後下半年高壓子
[00:47:21.240 --> 00:47:23.240]  流電東西會放量
[00:47:23.240 --> 00:47:25.240]  他要先克服回測
[00:47:25.240 --> 00:47:27.240]  你現在就是在年現在也增長
[00:47:27.240 --> 00:47:28.240]  那我要這樣講
[00:47:28.240 --> 00:47:30.240]  外資跟投信賣成這樣
[00:47:30.240 --> 00:47:31.240]  你看從1月以後
[00:47:31.240 --> 00:47:33.240]  其實沒有跌多少
[00:47:33.240 --> 00:47:35.240]  所以有機會開始
[00:47:35.240 --> 00:47:36.240]  這個只要他們
[00:47:36.240 --> 00:47:38.240]  投信大概還有1000多張
[00:47:38.240 --> 00:47:39.240]  賣光了
[00:47:39.240 --> 00:47:40.240]  沒得賣了
[00:47:40.240 --> 00:47:41.240]  這個股價就會強彈了
[00:47:41.240 --> 00:47:42.240]  順打呢
[00:47:42.240 --> 00:47:43.240]  好 順打的話
[00:47:43.240 --> 00:47:45.240]  他什麼打了一個敵後回來
[00:47:45.240 --> 00:47:46.240]  回測第二支獎
[00:47:46.240 --> 00:47:47.240]  這邊一樣
[00:47:47.240 --> 00:47:48.240]  300塊以下
[00:47:48.240 --> 00:47:49.240]  我覺得也是買點
[00:47:49.240 --> 00:47:50.240]  新勝利
[00:47:50.240 --> 00:47:51.240]  新勝利的話短線比較弱
[00:47:51.240 --> 00:47:52.240]  因為還在創新低
[00:47:52.240 --> 00:47:53.240]  所以先不要碰
[00:47:53.240 --> 00:47:54.240]  我們可以回頭
[00:47:54.240 --> 00:47:56.240]  過來看低價的系統電
[00:47:56.240 --> 00:47:57.240]  為什麼
[00:47:57.240 --> 00:47:58.240]  昨天核縮公布
[00:47:58.240 --> 00:48:00.240]  55塊失目買了這個系統電
[00:48:00.240 --> 00:48:01.240]  代表什麼
[00:48:01.240 --> 00:48:02.240]  後面變成有一個
[00:48:02.240 --> 00:48:03.240]  富爸爸的靠山
[00:48:03.240 --> 00:48:05.240]  而且為什麼他會去買他
[00:48:05.240 --> 00:48:07.240]  因為他看到系統電
[00:48:07.240 --> 00:48:09.240]  在BPU這一塊的布局
[00:48:09.240 --> 00:48:12.240]  所以65塊附近的系統電
[00:48:12.240 --> 00:48:14.240]  半年先跟這些附近系統電
[00:48:14.240 --> 00:48:15.240]  我覺得也是一個買點
[00:48:15.240 --> 00:48:16.240]  非常清楚
[00:48:16.240 --> 00:48:17.240]  謝謝波接
[00:48:17.240 --> 00:48:18.240]  請先回座了
[00:48:18.240 --> 00:48:19.240]  有一個大銀彈
[00:48:19.240 --> 00:48:20.240]  五百多億
[00:48:20.240 --> 00:48:22.240]  即將要貫入市場了
[00:48:22.240 --> 00:48:23.240]  這顆銀彈哪裡來的
[00:48:23.240 --> 00:48:25.240]  這錢可能會鎖定誰
[00:48:25.240 --> 00:48:26.240]  休息一下
[00:48:26.240 --> 00:48:27.240]  銀彈告訴你
[00:48:27.240 --> 00:48:28.240]  等一下 先不要走開
[00:48:28.240 --> 00:48:30.240]  天先百分百的觀眾朋友
[00:48:30.240 --> 00:48:31.240]  好 可不可以告訴你
[00:48:31.240 --> 00:48:33.240]  我們有新的理財頻道
[00:48:33.240 --> 00:48:36.240]  請鎖定Stareach小資理財藍圖
[00:48:36.240 --> 00:48:39.240]  歡迎地獄按讚開啟小鈴鐺
[00:48:39.240 --> 00:48:40.240]  每個禮拜二
[00:48:40.240 --> 00:48:41.240]  禮拜四晚上
[00:48:41.240 --> 00:48:43.240]  會有新的影片上線
[00:48:43.240 --> 00:48:45.240]  投資理財千萬不要錯過
[00:49:11.240 --> 00:49:12.240]  訂閱開啟小鈴鐺
[00:49:12.240 --> 00:49:13.240]  才可以掌握最新資訊哦
